Rnd,number,Player,TFR_Points,Team,Opp,Minutes,Points,Tries,Seven_point_tries,Conversions_attempted,Conversions_successful,PK_attempted,PK_successful,Kicking_success_pct,Drop_kicks_attempted,Successful_drop_kicks,Carries,Metres_run,Metres_gained,Avg_metres_gained,Clean_breaks,Ball_carry_into_breakdown,Offloads,Defenders_beaten,Total_passes,Successful_passes,Pass_accuracy_pct,First_and_second_breakdown_arrivals,Third_breakdown_arrivals,Tackles_attempted,Tackles_made,Tackles_missed,Tackles_made_pct,Dominant_tackles,Offloads_in_tackle,Defensive_turnovers_won,Defensive_breakdown_arrivals,First_defending_breakdown_arrivals,Breakdown_turnovers_won,Turnovers_conceded,General_play_kicks,General_play_kick_errors,Penalties_conceded,Free_kicks_conceded,Yellow_cards,Red_cards,Try_assists,Def_bonus,Off_bonus
17,12,Matias Orlando,8.9,Miami Sharks,OGDC,77,0,0,0,0,0,0,0,0,0,0,6,56,50,8,0,5,1,0,1,1,100,6,2,14,13,1,0,1,1,0,4,2,0,1,2,0,1,0,0,0,0,0,0
17,12,Oscar Koller,14.9,Anthem RC,CHI,83,0,0,0,0,0,0,0,0,0,0,10,119,108,11,0,7,1,1,5,5,100,6,0,9,7,2,0,0,1,0,10,7,0,2,3,0,0,0,0,0,1,0,0
17,12,Paul Lasike,5.3,Utah Warriors,DAL,66,0,0,0,0,0,0,0,0,0,0,6,40,34,6,0,4,1,1,7,6,86,10,0,10,8,2,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0
17,12,Sam Hill,8.8,Houston Sabercats,SDL,82,0,0,0,0,0,0,0,0,0,0,11,62,48,4,0,10,0,1,2,2,100,5,1,7,5,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
17,12,Tommaso Boni,12.2,Old Glory DC,MIA,85,0,0,0,0,0,0,0,0,0,0,10,80,67,7,0,10,2,0,5,5,100,4,2,17,15,2,0,2,0,2,8,8,0,0,0,0,0,0,0,0,0,0,0
18,12,Billy Meakes,6.6,Chicago Hounds,MIA,58,0,0,0,0,0,0,0,0,0,0,7,54,51,7,0,6,0,0,9,9,100,3,0,6,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,12,JP Du Plessis,7.4,NOLA Gold,OGDC,82,0,0,0,0,0,0,0,0,0,0,7,57,47,7,0,5,0,2,2,2,100,10,0,9,9,0,0,0,1,0,7,5,0,2,1,0,1,0,0,0,0,0,0
18,12,Junior Gafa,14,Anthem RC,NEFJ,84,0,0,0,0,0,0,0,0,0,0,13,135,126,10,2,9,1,4,4,2,50,12,2,12,8,4,0,0,2,1,3,3,0,4,0,0,0,0,0,0,0,0,0
18,12,Le Roux Malan,5.2,New England Free Jacks,ARC,63,0,0,0,0,0,0,0,0,0,0,6,42,38,6,0,6,0,0,6,5,83,5,0,10,8,2,0,2,0,1,1,1,0,2,0,0,0,0,0,0,0,0,0
18,12,Ma'a Nonu,4.4,San Diego Legion,SEA,64,0,0,0,0,0,0,0,0,0,0,4,29,26,6,0,2,2,0,6,5,83,7,0,6,6,0,0,0,0,0,2,1,0,0,2,0,0,0,0,0,0,0,0
