Week,Team,team_sum
14,PHI,49.28
14,PIT,57.00
14,SEA,58.36
14,SFO,109.52
14,TAM,74.36
14,TEN,89.28
15,ARI,79.24
15,ATL,44.48
15,BAL,89.54
15,BUF,86.16
15,CAR,61.88
15,CHI,71.94
15,CIN,97.56
15,CLE,105.56
15,DAL,51.96
15,DEN,54.42
15,DET,140.62
15,GNB,88.16
15,HOU,103.96
15,IND,104.50
15,JAX,62.76
15,KAN,107.96
15,LAC,68.88
15,LAR,107.02
15,LVR,144.62
15,MIA,112.66
15,MIN,110.72
15,NOR,88.02
15,NWE,74.80
15,NYG,53.28
15,NYJ,26.54
15,PHI,70.22
15,PIT,58.46
15,SEA,79.12
15,SFO,127.98
15,TAM,114.64
15,TEN,63.06
15,WAS,79.76
16,ARI,87.80
16,ATL,102.46
16,BAL,113.08
16,BUF,80.48
16,CAR,94.18
16,CHI,85.90
16,CIN,71.50
16,CLE,126.52
16,DAL,78.02
16,DEN,89.42
16,DET,112.88
16,GNB,95.46
16,HOU,85.06
16,IND,51.54
16,JAX,66.74
16,KAN,79.00
16,LAC,81.20
16,LAR,114.32
16,LVR,57.68
16,MIA,99.52
16,MIN,91.24
16,NOR,89.26
16,NWE,98.94
16,NYG,73.02
16,NYJ,113.08
16,PHI,115.54
16,PIT,112.10
16,SEA,84.28
16,SFO,87.04
16,TAM,116.02
16,TEN,79.36
16,WAS,72.40
17,ARI,118.18
17,ATL,61.42
17,BAL,139.94
17,BUF,85.46
17,CAR,36.58
17,CHI,126.42
17,CIN,71.38
17,CLE,116.06
17,DAL,104.90
17,DEN,76.26
17,DET,86.64
17,GNB,127.64
17,HOU,100.02
17,IND,74.96
17,JAX,95.72
17,KAN,99.00
17,LAC,66.80
17,LAR,97.18
17,LVR,103.06
17,MIA,80.48
17,MIN,56.12
17,NOR,91.98
17,NWE,72.16
17,NYG,101.96
17,NYJ,92.64
17,PHI,85.86
17,PIT,108.56
17,SEA,83.20
17,SFO,117.50
17,TAM,73.96
17,TEN,48.62
17,WAS,53.26
18,ARI,94.58
18,ATL,76.74
18,BAL,58.84
18,BUF,98.26
18,CAR,36.06
18,CHI,49.02
18,CIN,98.94
18,CLE,67.14
18,DAL,147.36
18,DEN,76.38
18,DET,101.50
18,GNB,99.04
18,HOU,98.26
18,IND,75.14
18,JAX,99.70
18,KAN,63.36
18,LAC,77.22
18,LAR,69.42
18,LVR,96.76
18,MIA,61.82
18,MIN,104.94
18,NOR,116.26
18,NWE,33.52
18,NYG,112.38
18,NYJ,68.50
18,PHI,56.92
18,PIT,82.08
18,SEA,75.56
18,SFO,66.36
18,TAM,70.58
18,TEN,91.52
18,WAS,45.02
